"age" "workclass" "education_num" "marital_status" "occupation" "race" "sex" "hours_per_week" "income"
30 " Private" 13 " Married" " White-Collar" " Black" " Male" 42 49.1
52 " Private" 10 " Married" " Blue-Collar" " White" " Male" 40 54.13
49 " Private" 10 " Married" " Blue-Collar" " Black" " Male" 60 51.64
24 " Private" 13 " Single" " White-Collar" " White" " Female" 40 39.86
46 " Private" 13 " Married" " White-Collar" " White" " Male" 40 59.12
39 " Private" 13 " Married" " Sales" " White" " Male" 50 53.78
45 " Self-Employed" 13 " Married" " White-Collar" " White" " Male" 50 56.77
62 " Government" 13 " Married" " White-Collar" " White" " Female" 38 54.71
43 " Private" 13 " Married" " Professional" " White" " Male" 50 52.1
45 " Private" 10 " Divorced" " Blue-Collar" " White" " Female" 40 44.25
62 " Self-Employed" 9 " Married" " Sales" " White" " Male" 40 50.65
48 " Private" 3 " Single" " Blue-Collar" " White" " Male" 40 49.44
56 " Private" 9 " Divorced" " Service" " Black" " Female" 40 38.77
28 " Private" 9 " Single" " Blue-Collar" " White" " Female" 35 41.46
23 " Private" 9 " Single" " Blue-Collar" " Black" " Male" 40 41.17
43 " Private" 9 " Divorced" " Service" " White" " Female" 35 39.93
26 " Private" 13 " Married" " Blue-Collar" " White" " Male" 40 56.03
36 " Private" 9 " Married" " Sales" " White" " Male" 50 49.06
55 " Government" 16 " Single" " Professional" " White" " Female" 60 49.88
48 " Government" 13 " Single" " White-Collar" " White" " Female" 50 53.15
43 " Private" 3 " Married" " Blue-Collar" " Asian-Pac-Islander" " Female" 72 45.01
38 " Private" 11 " Married" " White-Collar" " White" " Male" 45 57.07
18 " Private" 9 " Single" " Sales" " White" " Male" 30 46.05
56 " Self-Employed" 9 " Married" " White-Collar" " White" " Male" 70 57.75
39 " Self-Employed" 14 " Single" " Professional" " White" " Male" 40 49.59
46 " Private" 3 " Separated" " Blue-Collar" " White" " Male" 50 52
36 " Private" 7 " Single" " Blue-Collar" " Amer-Indian-Eskimo" " Male" 65 40.67
42 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 40 54.55
50 " Private" 9 " Married" " Blue-Collar" " White" " Male" 50 59.36
17 " Private" 7 " Single" " Blue-Collar" " White" " Male" 20 49.61
57 " Private" 4 " Widowed" " Blue-Collar" " Black" " Female" 40 41.02
73 " Private" 9 " Widowed" " Service" " White" " Female" 12 38.91
50 " Government" 10 " Single" " White-Collar" " White" " Male" 40 55.44
35 " Private" 10 " Single" " Blue-Collar" " White" " Male" 45 49.18
27 " Private" 10 " Married" " Blue-Collar" " White" " Male" 45 54.09
24 " Other/Unknown" 10 " Single" " Other/Unknown" " White" " Female" 40 35.95
27 " Private" 10 " Single" " Blue-Collar" " White" " Male" 40 51.64
23 " Self-Employed" 9 " Single" " Blue-Collar" " White" " Male" 40 50.12
25 " Private" 9 " Single" " White-Collar" " White" " Female" 40 40.96
51 " Private" 13 " Married" " White-Collar" " White" " Male" 40 58.54
26 " Private" 6 " Married" " White-Collar" " White" " Female" 40 44.89
47 " Private" 10 " Married" " White-Collar" " White" " Male" 45 58.26
40 " Private" 9 " Divorced" " Service" " Black" " Male" 40 42.44
58 " Private" 5 " Divorced" " Service" " White" " Female" 40 41.87
25 " Private" 10 " Single" " Sales" " White" " Female" 40 41.38
29 " Private" 9 " Married" " Sales" " White" " Female" 18 44.91
36 " Private" 7 " Married" " Blue-Collar" " White" " Male" 43 55.79
46 " Private" 9 " Divorced" " White-Collar" " White" " Female" 60 48.58
69 " Private" 2 " Widowed" " Service" " Black" " Female" 4 34.1
69 " Private" 9 " Widowed" " White-Collar" " White" " Female" 40 44.86
28 " Private" 9 " Single" " Service" " Black" " Female" 40 40.73
20 " Private" 9 " Single" " White-Collar" " White" " Male" 48 52.24
54 " Government" 9 " Separated" " White-Collar" " Black" " Female" 35 48.41
25 " Private" 10 " Single" " Blue-Collar" " White" " Male" 40 52.57
64 " Government" 9 " Married" " Blue-Collar" " White" " Male" 40 59.49
17 " Private" 9 " Single" " Sales" " White" " Female" 20 39.4
53 " Government" 9 " Married" " White-Collar" " White" " Male" 40 62.67
50 " Private" 5 " Divorced" " Blue-Collar" " White" " Male" 50 49.97
57 " Private" 9 " Married" " White-Collar" " White" " Female" 38 50
51 " Private" 10 " Married" " Blue-Collar" " White" " Male" 40 53.36
20 " Other/Unknown" 10 " Single" " Other/Unknown" " White" " Male" 30 46.49
47 " Private" 10 " Married" " Blue-Collar" " White" " Male" 40 54.11
25 " Private" 9 " Single" " Blue-Collar" " White" " Male" 52 52.32
50 " Government" 15 " Married" " White-Collar" " White" " Male" 52 64.59
20 " Private" 9 " Single" " White-Collar" " White" " Female" 30 44.64
43 " Government" 15 " Married" " Professional" " White" " Male" 70 60.87
46 " Private" 13 " Single" " Professional" " White" " Female" 40 42.31
54 " Private" 9 " Separated" " White-Collar" " White" " Female" 38 42.13
53 " Private" 10 " Separated" " White-Collar" " Amer-Indian-Eskimo" " Female" 15 40.96
21 " Private" 9 " Single" " Blue-Collar" " White" " Male" 30 52.44
58 " Private" 10 " Divorced" " Service" " White" " Male" 40 48.36
30 " Private" 13 " Married" " Sales" " White" " Male" 55 51.54
61 " Private" 9 " Married" " White-Collar" " Black" " Female" 40 47.5
56 " Government" 10 " Divorced" " White-Collar" " White" " Female" 35 48.59
59 " Private" 9 " Divorced" " Service" " White" " Female" 40 39.76
72 " Private" 9 " Married" " Blue-Collar" " White" " Male" 20 60.19
33 " Private" 9 " Single" " White-Collar" " White" " Male" 40 49.97
46 " Private" 9 " Married" " White-Collar" " White" " Female" 40 45.53
46 " Government" 10 " Married" " Service" " White" " Male" 38 54.97
48 " Private" 9 " Single" " Professional" " Black" " Female" 28 41.96
33 " Private" 9 " Married" " White-Collar" " White" " Male" 40 59.48
21 " Private" 10 " Single" " Blue-Collar" " White" " Female" 40 39.06
27 " Private" 9 " Divorced" " White-Collar" " White" " Female" 45 41.81
31 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 40 51.26
28 " Private" 13 " Single" " Blue-Collar" " White" " Male" 40 48.08
45 " Government" 10 " Divorced" " White-Collar" " White" " Female" 38 49.58
51 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 55.36
46 " Government" 9 " Single" " Service" " Black" " Female" 40 38.94
25 " Private" 10 " Married" " Sales" " White" " Male" 25 51.12
61 " Private" 10 " Married" " White-Collar" " White" " Male" 40 58.04
17 " Private" 7 " Single" " Sales" " White" " Female" 30 38.25
26 " Private" 13 " Single" " Blue-Collar" " White" " Male" 40 51.9
35 " Private" 6 " Divorced" " Blue-Collar" " White" " Male" 60 50.28
33 " Self-Employed" 7 " Married" " White-Collar" " White" " Male" 70 52.98
37 " Private" 8 " Married" " Sales" " Asian-Pac-Islander" " Female" 33 42.78
39 " Government" 9 " Single" " White-Collar" " White" " Female" 35 46.4
42 " Private" 9 " Divorced" " Service" " White" " Female" 30 39.55
35 " Private" 13 " Married" " White-Collar" " White" " Male" 47 59.3
45 " Private" 9 " Divorced" " Service" " White" " Female" 50 40.53
47 " Self-Employed" 13 " Single" " Sales" " White" " Male" 40 43.64
64 " Private" 7 " Married" " Blue-Collar" " White" " Male" 48 56.9
39 " Private" 15 " Married" " White-Collar" " White" " Female" 47 51.61
43 " Other/Unknown" 9 " Divorced" " Other/Unknown" " White" " Female" 40 40.39
34 " Private" 9 " Married" " Professional" " White" " Male" 40 50.38
62 " Private" 13 " Married" " Professional" " White" " Male" 40 52.8
53 " Private" 10 " Married" " Professional" " White" " Male" 40 54.77
31 " Private" 13 " Married" " White-Collar" " White" " Male" 40 57.15
26 " Private" 9 " Married" " Sales" " White" " Male" 40 54.27
56 " Self-Employed" 4 " Married" " Blue-Collar" " White" " Male" 50 48.39
43 " Private" 10 " Single" " Service" " White" " Female" 40 39.33
33 " Private" 10 " Single" " Sales" " Black" " Male" 35 40.91
45 " Self-Employed" 10 " Married" " Blue-Collar" " White" " Male" 40 54.42
46 " Private" 10 " Separated" " Sales" " White" " Male" 55 50.94
26 " Private" 11 " Married" " Blue-Collar" " White" " Male" 80 56.81
24 " Private" 9 " Single" " Service" " White" " Female" 40 34.4
43 " Private" 13 " Married" " Blue-Collar" " White" " Male" 50 57.48
40 " Private" 11 " Single" " Blue-Collar" " White" " Male" 40 52.57
61 " Private" 4 " Divorced" " Service" " White" " Male" 35 44.42
34 " Government" 10 " Single" " White-Collar" " Black" " Female" 72 50.53
85 " Private" 9 " Widowed" " Sales" " White" " Male" 35 50.11
41 " Private" 9 " Single" " White-Collar" " White" " Female" 40 40.99
31 " Government" 12 " Single" " White-Collar" " White" " Female" 35 48.25
22 " Private" 10 " Single" " Sales" " White" " Female" 30 39.57
60 " Private" 9 " Widowed" " Service" " Black" " Female" 40 40.46
29 " Private" 12 " Divorced" " Professional" " White" " Female" 36 39.86
34 " Other/Unknown" 9 " Married" " Other/Unknown" " White" " Male" 40 53.73
35 " Government" 13 " Single" " White-Collar" " Asian-Pac-Islander" " Female" 45 46.56
24 " Private" 9 " Single" " Sales" " White" " Male" 30 48.07
45 " Government" 14 " Divorced" " Professional" " Black" " Male" 40 48.84
21 " Government" 8 " Single" " Service" " Black" " Male" 20 44.6
30 " Private" 12 " Married" " Blue-Collar" " White" " Female" 37 47.42
50 " Self-Employed" 10 " Married" " White-Collar" " White" " Male" 99 56.53
41 " Self-Employed" 9 " Married" " White-Collar" " White" " Male" 40 53.96
21 " Private" 9 " Single" " Sales" " White" " Female" 33 35.25
45 " Private" 9 " Married" " Blue-Collar" " White" " Male" 45 56.32
34 " Private" 13 " Married" " White-Collar" " White" " Male" 40 59.68
28 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 40 50.99
19 " Private" 9 " Single" " Service" " White" " Male" 40 49.27
26 " Private" 13 " Single" " Professional" " White" " Male" 50 50.43
48 " Private" 13 " Married" " Blue-Collar" " White" " Male" 45 57.87
69 " Private" 13 " Widowed" " Professional" " White" " Male" 40 50.32
41 " Private" 10 " Divorced" " White-Collar" " White" " Female" 40 46.67
43 " Private" 13 " Divorced" " White-Collar" " White" " Female" 40 42.94
28 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 55.03
65 " Government" 10 " Divorced" " White-Collar" " White" " Female" 28 48.53
31 " Private" 13 " Single" " White-Collar" " White" " Male" 38 51.29
28 " Private" 13 " Single" " White-Collar" " White" " Female" 40 41.98
51 " Private" 13 " Married" " Professional" " White" " Male" 40 50.76
45 " Private" 10 " Single" " Blue-Collar" " White" " Female" 80 42.44
43 " Private" 9 " Divorced" " White-Collar" " Black" " Male" 38 46.6
31 " Private" 12 " Married" " Sales" " White" " Male" 60 52.16
31 " Private" 10 " Married" " Blue-Collar" " White" " Male" 55 55.34
45 " Private" 10 " Married" " Blue-Collar" " Asian-Pac-Islander" " Male" 40 43.55
20 " Private" 13 " Single" " Sales" " Black" " Female" 30 40.56
25 " Private" 13 " Single" " Service" " White" " Male" 40 48.65
36 " Private" 9 " Widowed" " Blue-Collar" " White" " Female" 30 41.84
31 " Private" 13 " Single" " Sales" " White" " Male" 50 53.7
56 " Private" 10 " Married" " Blue-Collar" " White" " Male" 45 58.08
26 " Private" 13 " Single" " Sales" " White" " Male" 18 45.98
47 " Self-Employed" 10 " Divorced" " White-Collar" " White" " Female" 65 44.71
40 " Self-Employed" 9 " Married" " White-Collar" " White" " Male" 50 51.15
32 " Private" 9 " Married" " White-Collar" " White" " Female" 48 52.93
34 " Government" 14 " Single" " Professional" " Black" " Female" 24 47.03
37 " Private" 9 " Married" " White-Collar" " White" " Male" 55 54.43
38 " Private" 9 " Married" " Blue-Collar" " White" " Male" 45 53.6
19 " Private" 11 " Single" " Service" " Asian-Pac-Islander" " Male" 16 41.06
49 " Private" 5 " Divorced" " Blue-Collar" " White" " Female" 40 38.9
18 " Other/Unknown" 9 " Single" " Other/Unknown" " Black" " Female" 25 38.88
26 " Private" 12 " Single" " Professional" " White" " Female" 40 42.35
82 " Private" 4 " Married" " Blue-Collar" " White" " Male" 2 55.43
40 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 40 51.29
28 " Private" 10 " Single" " Blue-Collar" " White" " Male" 50 54.78
23 " Private" 9 " Married" " Sales" " Black" " Male" 37 43.95
19 " Private" 10 " Single" " White-Collar" " White" " Male" 40 55.03
67 " Private" 9 " Widowed" " Blue-Collar" " Black" " Male" 32 43.11
43 " Private" 13 " Married" " White-Collar" " White" " Male" 40 60.15
41 " Private" 12 " Single" " White-Collar" " Other" " Female" 50 34.51
37 " Private" 11 " Divorced" " Professional" " White" " Female" 40 39.65
20 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 50.23
40 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 40 54.6
47 " Private" 14 " Separated" " White-Collar" " White" " Male" 50 55.62
40 " Private" 9 " Married" " Service" " White" " Male" 40 51.28
39 " Government" 13 " Single" " White-Collar" " White" " Female" 40 46.31
24 " Private" 10 " Single" " White-Collar" " Black" " Female" 20 40.95
78 " Other/Unknown" 9 " Married" " Other/Unknown" " White" " Male" 32 50.72
67 " Other/Unknown" 11 " Widowed" " Other/Unknown" " White" " Female" 1 36.67
49 " Private" 13 " Married" " Sales" " White" " Male" 45 53.28
66 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 10 50.73
52 " Private" 9 " Single" " Professional" " White" " Female" 40 35.41
59 " Self-Employed" 9 " Divorced" " White-Collar" " White" " Male" 60 53.12
72 " Private" 9 " Widowed" " Service" " White" " Female" 12 38.06
35 " Government" 9 " Single" " White-Collar" " White" " Male" 40 56.95
30 " Private" 13 " Married" " White-Collar" " White" " Female" 40 47.85
36 " Private" 10 " Single" " Service" " White" " Male" 40 44.29
26 " Private" 9 " Separated" " Service" " White" " Female" 40 37.59
23 " Private" 13 " Single" " Service" " White" " Male" 35 52.38
39 " Private" 13 " Married" " Professional" " White" " Male" 40 58.1
40 " Self-Employed" 15 " Married" " Professional" " White" " Male" 40 49.05
29 " Private" 13 " Single" " Professional" " White" " Male" 40 50.16
38 " Private" 13 " Single" " Service" " White" " Male" 20 44.61
63 " Private" 13 " Single" " White-Collar" " White" " Male" 40 53.94
58 " Self-Employed" 9 " Married" " White-Collar" " White" " Male" 40 58.21
30 " Private" 9 " Divorced" " White-Collar" " White" " Female" 40 45.55
38 " Government" 9 " Single" " Service" " Black" " Female" 40 41.44
25 " Private" 3 " Single" " White-Collar" " White" " Female" 33 39.88
44 " Government" 14 " Married" " Professional" " White" " Male" 40 58.7
43 " Private" 11 " Married" " White-Collar" " White" " Female" 40 45.53
21 " Private" 10 " Single" " Blue-Collar" " White" " Male" 30 50.83
41 " Government" 12 " Single" " White-Collar" " White" " Male" 40 56.47
38 " Private" 13 " Married" " Sales" " White" " Male" 50 50.96
75 " Other/Unknown" 13 " Married" " Other/Unknown" " White" " Male" 6 48.81
29 " Private" 10 " Married" " Blue-Collar" " White" " Male" 40 57.26
52 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 70 51.34
47 " Private" 9 " Divorced" " White-Collar" " White" " Female" 45 42.64
28 " Private" 11 " Married" " Professional" " White" " Male" 50 49.1
24 " Private" 10 " Married" " Service" " White" " Female" 40 43.1
30 " Government" 14 " Married" " Professional" " Asian-Pac-Islander" " Male" 10 48.21
30 " Private" 10 " Married" " White-Collar" " White" " Male" 60 57.03
40 " Private" 12 " Divorced" " White-Collar" " White" " Male" 40 56.93
27 " Private" 10 " Single" " Service" " White" " Female" 30 37.85
26 " Private" 9 " Single" " Service" " White" " Male" 44 49.04
32 " Private" 9 " Single" " Service" " White" " Male" 37 47.02
36 " Government" 13 " Single" " White-Collar" " White" " Female" 40 47.04
26 " Private" 8 " Single" " Blue-Collar" " Black" " Male" 40 44.67
25 " Private" 10 " Single" " Blue-Collar" " Black" " Male" 40 44.72
39 " Private" 10 " Divorced" " Service" " White" " Female" 40 41.3
27 " Private" 11 " Married" " Service" " White" " Male" 40 53.25
24 " Private" 9 " Married" " Blue-Collar" " White" " Male" 50 54.77
38 " Self-Employed" 13 " Married" " Sales" " White" " Male" 40 48.63
35 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 55 56.45
29 " Private" 11 " Single" " Service" " White" " Male" 40 48.79
49 " Private" 9 " Divorced" " Service" " Black" " Female" 40 38.77
36 " Private" 5 " Married" " Blue-Collar" " White" " Male" 40 57.37
47 " Self-Employed" 16 " Married" " Blue-Collar" " White" " Male" 50 58.24
21 " Private" 10 " Single" " Service" " White" " Male" 40 46.6
35 " Private" 13 " Single" " Professional" " Asian-Pac-Islander" " Female" 40 38.77
38 " Private" 2 " Married" " Blue-Collar" " White" " Male" 40 52.39
66 " Other/Unknown" 10 " Married" " Other/Unknown" " White" " Male" 40 52.19
45 " Private" 14 " Married" " White-Collar" " White" " Male" 50 58.56
19 " Private" 10 " Single" " Service" " White" " Female" 15 37.67
18 " Private" 9 " Single" " Blue-Collar" " White" " Male" 22 50.07
37 " Private" 15 " Married" " White-Collar" " White" " Male" 40 58.95
49 " Private" 13 " Single" " Professional" " White" " Female" 40 38.75
33 " Government" 11 " Married" " Service" " White" " Male" 48 57.13
27 " Private" 10 " Married" " Sales" " White" " Male" 40 53.02
34 " Government" 10 " Divorced" " White-Collar" " White" " Female" 35 48.25
54 " Government" 14 " Married" " Professional" " Asian-Pac-Islander" " Female" 40 46.92
24 " Self-Employed" 10 " Single" " Blue-Collar" " White" " Male" 40 49.15
44 " Self-Employed" 15 " Married" " Professional" " White" " Male" 60 53.01
48 " Self-Employed" 13 " Separated" " Blue-Collar" " White" " Male" 50 51.64
23 " Private" 9 " Single" " White-Collar" " White" " Female" 40 40.63
29 " Private" 9 " Single" " Service" " White" " Male" 38 51.69
21 " Private" 12 " Single" " Service" " White" " Female" 9 35.53
18 " Private" 8 " Single" " Service" " White" " Female" 32 36
18 " Private" 5 " Single" " Sales" " Other" " Female" 32 29.55
29 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 40 52.64
29 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 47.89
41 " Private" 9 " Separated" " Blue-Collar" " Black" " Female" 40 39.96
32 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 52.4
61 " Private" 6 " Divorced" " Service" " Black" " Female" 24 42.71
79 " Private" 9 " Married" " Professional" " White" " Male" 6 56.77
34 " Private" 12 " Divorced" " Blue-Collar" " White" " Male" 40 56.85
46 " Private" 13 " Married" " White-Collar" " White" " Male" 40 60.89
50 " Self-Employed" 11 " Married" " Sales" " White" " Male" 60 51.68
29 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 54.3
23 " Private" 10 " Single" " White-Collar" " White" " Female" 40 44.34
64 " Private" 10 " Single" " White-Collar" " White" " Female" 40 42.99
70 " Government" 14 " Single" " Professional" " White" " Female" 50 41.93
28 " Government" 12 " Single" " White-Collar" " White" " Female" 40 50.18
51 " Private" 11 " Married" " Blue-Collar" " White" " Male" 40 55.11
20 " Other/Unknown" 10 " Single" " Other/Unknown" " White" " Female" 40 36.35
34 " Government" 13 " Divorced" " Professional" " White" " Male" 55 52.25
29 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 43.93
49 " Private" 13 " Married" " Service" " Asian-Pac-Islander" " Male" 40 43.97
77 " Self-Employed" 10 " Married" " White-Collar" " White" " Male" 40 52.72
32 " Private" 9 " Single" " Service" " White" " Female" 35 37.06
27 " Private" 13 " Married" " Service" " White" " Female" 40 43.72
22 " Private" 10 " Single" " Sales" " White" " Female" 40 36.89
35 " Government" 9 " Married" " Blue-Collar" " White" " Male" 40 59.1
42 " Government" 13 " Married" " Service" " White" " Male" 40 56.04
35 " Government" 9 " Divorced" " Blue-Collar" " White" " Male" 40 53.85
62 " Other/Unknown" 9 " Married" " Other/Unknown" " White" " Male" 40 49.38
33 " Private" 9 " Married" " Service" " White" " Male" 16 53.29
45 " Private" 10 " Widowed" " White-Collar" " White" " Female" 55 42.4
19 " Private" 10 " Married" " Sales" " White" " Female" 40 43.62
38 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 40 51.04
26 " Private" 9 " Married" " Blue-Collar" " Black" " Male" 45 44.27
29 " Private" 13 " Single" " White-Collar" " White" " Female" 45 45.52
33 " Private" 13 " Married" " Professional" " White" " Male" 40 55.68
35 " Self-Employed" 9 " Divorced" " Blue-Collar" " White" " Male" 80 52.57
42 " Private" 10 " Married" " Blue-Collar" " White" " Male" 40 56.75
20 " Private" 11 " Single" " Service" " White" " Female" 20 37.52
43 " Government" 14 " Married" " Professional" " White" " Male" 40 61.87
69 " Private" 7 " Married" " Professional" " Black" " Male" 45 44.72
39 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 50.99
37 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 54.44
28 " Private" 10 " Married" " Blue-Collar" " White" " Male" 40 56.63
26 " Government" 13 " Single" " Service" " White" " Male" 40 52.26
32 " Private" 10 " Divorced" " Sales" " White" " Male" 30 50.26
43 " Government" 13 " Divorced" " White-Collar" " White" " Male" 40 56.65
49 " Private" 9 " Married" " White-Collar" " White" " Male" 30 55.6
28 " Private" 4 " Separated" " Service" " White" " Male" 60 47.47
35 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 55.43
19 " Other/Unknown" 10 " Single" " Other/Unknown" " White" " Female" 10 32.57
35 " Government" 9 " Married" " Blue-Collar" " White" " Male" 40 61.82
57 " Private" 9 " Married" " White-Collar" " White" " Female" 40 49.34
45 " Private" 5 " Married" " Blue-Collar" " White" " Male" 40 54.27
23 " Private" 9 " Single" " Sales" " White" " Male" 48 48.51
45 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 54.8
42 " Private" 9 " Married" " White-Collar" " White" " Female" 40 49.68
35 " Private" 13 " Married" " Service" " Asian-Pac-Islander" " Male" 40 44.52
45 " Private" 13 " Married" " Professional" " White" " Male" 50 50.88
28 " Government" 13 " Single" " White-Collar" " White" " Male" 40 58.13
64 " Self-Employed" 11 " Married" " Blue-Collar" " White" " Male" 10 52.53
44 " Government" 15 " Separated" " Professional" " White" " Female" 40 43.14
59 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 40 52.02
41 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 54.65
21 " Private" 10 " Single" " Sales" " Black" " Male" 25 44.55
29 " Self-Employed" 11 " Single" " White-Collar" " White" " Female" 40 42.66
51 " Self-Employed" 9 " Single" " Blue-Collar" " White" " Male" 40 47.63
22 " Private" 9 " Single" " White-Collar" " White" " Male" 40 54.63
49 " Private" 9 " Divorced" " Service" " White" " Female" 40 40.86
53 " Private" 12 " Married" " Sales" " White" " Male" 80 58.23
38 " Private" 10 " Divorced" " White-Collar" " White" " Female" 44 43.26
23 " Private" 10 " Separated" " Blue-Collar" " White" " Male" 40 52.76
20 " Private" 9 " Single" " Service" " White" " Female" 40 42.83
40 " Private" 13 " Divorced" " Blue-Collar" " White" " Female" 40 39.23
25 " Private" 13 " Single" " Professional" " White" " Female" 40 41.74
27 " Private" 10 " Divorced" " Service" " White" " Female" 40 41.75
20 " Private" 9 " Single" " Service" " White" " Male" 30 48.27
37 " Private" 9 " Married" " Service" " White" " Female" 20 42.65
40 " Government" 9 " Single" " Service" " White" " Male" 40 50.68
28 " Private" 13 " Married" " White-Collar" " White" " Male" 40 56.6
38 " Self-Employed" 9 " Separated" " Service" " White" " Female" 40 33.08
42 " Private" 13 " Divorced" " White-Collar" " White" " Female" 40 42.05
32 " Government" 12 " Divorced" " Service" " White" " Male" 40 54.75
20 " Private" 9 " Married" " Sales" " White" " Male" 45 51.96
62 " Government" 13 " Married" " White-Collar" " White" " Male" 38 62.97
31 " Private" 10 " Single" " White-Collar" " White" " Male" 40 53.54
31 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 60 51.69
24 " Private" 9 " Single" " White-Collar" " White" " Male" 40 56.25
62 " Government" 4 " Widowed" " Service" " Black" " Female" 35 42.36
43 " Government" 10 " Married" " Blue-Collar" " White" " Male" 40 59.55
21 " Private" 10 " Single" " Blue-Collar" " White" " Male" 50 49.11
30 " Self-Employed" 9 " Divorced" " White-Collar" " White" " Male" 40 48.93
22 " Other/Unknown" 9 " Single" " Other/Unknown" " Black" " Female" 40 33.15
18 " Private" 6 " Single" " Blue-Collar" " White" " Male" 40 50.54
59 " Government" 14 " Divorced" " Professional" " White" " Female" 40 48.14
24 " Self-Employed" 4 " Married" " Blue-Collar" " White" " Male" 40 49.03
49 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 53.78
19 " Government" 7 " Single" " Service" " White" " Male" 30 49.18
48 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 53.26
32 " Private" 15 " Married" " Sales" " White" " Male" 60 54.63
33 " Private" 6 " Single" " Blue-Collar" " White" " Female" 45 42.65
23 " Private" 13 " Single" " Sales" " Black" " Male" 15 34.96
33 " Government" 15 " Single" " Professional" " White" " Female" 65 45.43
50 " Government" 10 " Married" " White-Collar" " White" " Male" 40 64.42
30 " Private" 13 " Married" " White-Collar" " White" " Male" 43 56.64
32 " Private" 12 " Married" " Professional" " White" " Male" 42 53.72
39 " Private" 10 " Married" " Sales" " White" " Male" 65 54.81
21 " Private" 10 " Single" " Sales" " White" " Female" 20 38.06
23 " Private" 13 " Single" " Professional" " White" " Female" 21 40.01
32 " Private" 13 " Single" " White-Collar" " White" " Female" 40 39.62
57 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 54.88
22 " Government" 10 " Single" " Professional" " White" " Male" 10 51.68
70 " Private" 9 " Widowed" " White-Collar" " White" " Female" 5 45.66
34 " Private" 10 " Married" " Service" " White" " Male" 84 54.28
53 " Private" 14 " Divorced" " Sales" " White" " Female" 40 42.65
21 " Private" 10 " Single" " Sales" " White" " Male" 45 49.79
37 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 40 49.2
60 " Self-Employed" 9 " Married" " Blue-Collar" " White" " Male" 50 54.17
23 " Private" 7 " Single" " Blue-Collar" " Asian-Pac-Islander" " Male" 40 41.58
32 " Private" 6 " Married" " Blue-Collar" " White" " Male" 80 52.64
57 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 51.53
65 " Other/Unknown" 9 " Married" " Other/Unknown" " White" " Male" 40 50.43
25 " Private" 10 " Single" " White-Collar" " White" " Male" 30 53.66
30 " Private" 9 " Married" " Blue-Collar" " White" " Male" 46 53.69
31 " Private" 9 " Divorced" " White-Collar" " White" " Female" 40 45.97
19 " Private" 10 " Single" " Service" " White" " Male" 35 44.98
23 " Government" 13 " Married" " Service" " White" " Male" 38 60.73
44 " Private" 9 " Married" " Sales" " White" " Male" 40 53.54
43 " Other/Unknown" 10 " Married" " Other/Unknown" " White" " Male" 45 52.72
42 " Private" 10 " Single" " Blue-Collar" " Black" " Female" 40 43.19
34 " Self-Employed" 7 " Married" " Blue-Collar" " White" " Male" 40 52.08
32 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 55.74
25 " Private" 11 " Single" " Service" " Black" " Female" 40 40.93
21 " Private" 10 " Single" " White-Collar" " White" " Female" 40 45.16
31 " Private" 9 " Married" " Service" " Black" " Female" 60 43.02
36 " Government" 11 " Single" " Professional" " White" " Female" 40 47.79
49 " Self-Employed" 10 " Married" " Blue-Collar" " White" " Male" 65 51.41
44 " Private" 13 " Divorced" " White-Collar" " White" " Female" 32 42.7
42 " Private" 11 " Married" " Sales" " White" " Male" 40 57.79
30 " Private" 9 " Single" " Service" " White" " Male" 99 48.07
33 " Private" 6 " Married" " Blue-Collar" " White" " Male" 40 57.23
36 " Self-Employed" 13 " Divorced" " Service" " Black" " Male" 45 41.1
17 " Private" 6 " Single" " Service" " White" " Male" 30 45.41
20 " Private" 10 " Single" " Sales" " White" " Male" 25 47.48
